支払手段,取引先名称,科目,細目
JCBデビット,ＰＳビバレッジ〔飲料自販機〕,食費,飲料
JCBデビット,セブン－イレブン横浜旭区川島町店,食費,飲料
JCBデビット,ワタナベストアー　ビナワンフーズ海老名店,交際費,贈答
JCBデビット,ノジマ　マルイファミリー海老名店,消耗品,その他
JCBデビット,４４　ａｐａｒｔｍｅｎｔ　海老名／ＳＢ,交際費,飲食
JCBデビット,フード＆タイム　イセタン　ヨコハマ,交際費,飲食
JCBデビット,ＳＱ＊ＰＣクリニック,立替・資金移動,精算
JCBデビット,ファミリーマート　都筑富士見が丘,食費,飲料
JCBデビット,ららぽーと横浜,食費,カフェ
JCBデビット,マルエツ　四季の森フォレオ,食費,昼食
JCBデビット,青少年センター駐車場,立替・資金移動,精算
JCBデビット,セブン－イレブン小田急小田原店,交際費,贈答
JCBデビット,ローソン横浜ポルタ,食費,飲料
JCBデビット,ラゾーナ川崎プラザ,交際費,飲食
JCBデビット,ツルハドラッグ,消耗品,日用品
JCBデビット,アサヒ飲料販売　飲料自販機,食費,飲料
JCBデビット,ファミリーマート　横浜舞岡町,食費,飲料
JCBデビット,東京キリン,食費,飲料
JCBデビット,ＬＡＢＩ藤沢,消耗品,その他
JCBデビット,釜めし菜時記　さき亭／ＳＢ,交際費,飲食
JCBデビット,新江ノ島水族館　オーシャンバー,交際費,飲食
JCBデビット,コンパス薬局横浜西,医療費,医薬品
JCBデビット,サミット,食費,夕食
JCBデビット,ＳｗｉｔｃｈＢｏｔ株式会社,消耗品,その他
JCBデビット,ＤＣＳ・藤沢北口駅前店,食費,カフェ
JCBデビット,万豚記,交際費,飲食
JCBデビット,スギ薬局西新宿医大前店,消耗品,生活用品
JCBデビット,ユカ飲料自販機,食費,飲料
現金,ミスタードーナツ茅ケ崎北口ショップ,食費,朝食
現金,ベックスコーヒー横浜北口店,食費,昼食
現金,キッチンオリジン 藤棚店,食費,昼食
現金,ミスタードーナツ 戸塚西口ショップ,食費,朝食
現金,ミスタードーナツ中山ショップ,食費,カフェ
現金,-,食費,飲料
現金,ベックスコーヒー横浜駅南口店,食費,カフェ
現金,ニューデイズ戸塚地下,食費,飲料
現金,宇都宮みんみん 来らっせ店,交際費,飲食
現金,ベックスコーヒーアトレ大船店,食費,昼食
現金,ベックスコーヒー小田原店,食費,カフェ
現金,カフェ・ド・クリエSaclass 戸塚店,交際費,飲食
LIFEカード,ゾゾタウン,美容・衣類,洋服
LIFEカード,アマゾンプライムカイヒ,その他,手数料
LIFEカード,Ｌｏｏｏｐでんき,水道光熱費,電気
LIFEカード,ＰＡＹＰＡＬ　＊ＳＴＯＲＹ,教養,習い事
LIFEカード,エフビツト　ガス,水道光熱費,ガス
LIFEカード,オプテージ利用料金,通信費,携帯電話
LIFEカード,サンワ　サクラス　トツカテン,食費,夕食
LIFEカード,ニトリ,消耗品,その他
LIFEカード,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,消耗品,生活用品
LIFEカード,ビツプスキントレ－ナ,教養,習い事
LIFEカード,ライトコ－ポレ－シヨンケツサイサ,教養,習い事
LIFEカード,ＵＤＥＭＹ＋９０５３２６２５３８８０,教養,習い事
LIFEカード,ｉｎｓｔａｂａｓｅ,教養,会場
LIFEカード,三井のカーシェアーズ,交通費,その他
LIFEカード,１Ｄａｙセミナー,教養,習い事
