日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2026-05-24,payment,交通,電車,-,-,,,-,"（プレミアム会員で表示）",0,912,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-24,payment,交通,電車,-,-,,,-,"（プレミアム会員で表示）",0,2420,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-24,payment,交通,バス,-,-,,,-,"（プレミアム会員で表示）",0,250,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-24,payment,交通,電車,-,-,,,-,"（プレミアム会員で表示）",0,518,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-27,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-27,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-27,payment,食費,晩ご飯,Suica,-,たらこ軍1,,-,"（プレミアム会員で表示）",0,110,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-27,payment,食費,晩ご飯,Suica,-,歓子,,-,"（プレミアム会員で表示）",0,190,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-27,payment,食費,晩ご飯,Suica,-,生ハム,,-,"（プレミアム会員で表示）",0,170,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-27,payment,食費,晩ご飯,Suica,-,ちょこっとフライト*ポテト,,-,"（プレミアム会員で表示）",0,220,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-27,payment,食費,晩ご飯,Suica,-,蒸しホタテ,,-,"（プレミアム会員で表示）",0,190,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-27,payment,食費,晩ご飯,Suica,-,煮穴子(シャリハーフ),,-,"（プレミアム会員で表示）",0,190,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-05-27,payment,食費,晩ご飯,Suica,-,かけうどん(平田限定),,-,"（プレミアム会員で表示）",0,90,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-02,payment,食費,カフェ,-,-,,,-,"（プレミアム会員で表示）",0,110,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-03,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-03,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-04,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-04,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-05,payment,食費,朝ご飯,Suica,-,ロイヤルミルクティ,,"ミスタードーナツ 戸塚西口ショップ","（プレミアム会員で表示）",0,363,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-07,payment,教育・教養,その他,-,-,,,-,"（プレミアム会員で表示）",0,1000,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-07,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-07,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-09,payment,食費,朝ご飯,Suica,-,ロイヤルミルクティ,,"ミスタードーナツ 戸塚西口ショップ","（プレミアム会員で表示）",0,363,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
